670,4.55E-02,3.35E-03,6.42E-07,3.20E-02,0.016
672,3.98E-02,2.89E-03,5.77E-07,2.81E-02,0.017
674,3.47E-02,2.48E-03,5.19E-07,2.47E-02,0.015
676,3.02E-02,2.14E-03,4.68E-07,2.18E-02,0.014
678,2.63E-02,1.84E-03,4.21E-07,1.93E-02,0.008
680,2.28E-02,1.59E-03,3.80E-07,1.70E-02,0.012
682,1.98E-02,1.37E-03,3.42E-07,1.48E-02,0.009
684,1.72E-02,1.18E-03,3.09E-07,1.28E-02,0.01
686,1.49E-02,1.02E-03,2.79E-07,1.11E-02,0.01
688,1.29E-02,8.76E-04,2.52E-07,9.54E-03,0.011
690,1.11E-02,7.55E-04,2.28E-07,8.21E-03,0.014
692,9.62E-03,6.51E-04,2.06E-07,7.09E-03,0.01
694,8.30E-03,5.60E-04,1.86E-07,6.14E-03,0.012
696,7.17E-03,4.83E-04,1.69E-07,5.34E-03,0.006
698,6.19E-03,4.16E-04,1.53E-07,4.68E-03,0.01
700,5.34E-03,3.58E-04,1.39E-07,4.10E-03,0.004
702,4.60E-03,3.09E-04,1.26E-07,3.59E-03,0.01
704,3.97E-03,2.67E-04,1.14E-07,3.14E-03,0.005
706,3.42E-03,2.30E-04,1.04E-07,2.74E-03,0.006
708,2.95E-03,1.99E-04,9.42E-08,2.39E-03,0.008
710,2.54E-03,1.72E-04,8.57E-08,2.09E-03,0.009
712,2.19E-03,1.49E-04,7.79E-08,1.83E-03,0.007
714,1.89E-03,1.29E-04,7.09E-08,1.59E-03,-0.001
716,1.63E-03,1.11E-04,6.46E-08,1.39E-03,0.003
718,1.41E-03,9.65E-05,5.88E-08,1.20E-03,0.003
720,1.21E-03,8.36E-05,5.36E-08,1.05E-03,0.009
722,1.05E-03,7.26E-05,4.89E-08,9.11E-04,0.006
724,9.05E-04,6.29E-05,4.46E-08,7.93E-04,0.006
726,7.82E-04,5.47E-05,4.07E-08,6.90E-04,0.004
728,6.75E-04,4.75E-05,3.72E-08,6.00E-04,0.004
730,5.84E-04,4.13E-05,3.40E-08,5.20E-04,-0.004
732,5.05E-04,3.60E-05,3.11E-08,4.50E-04,0.008
734,4.37E-04,3.13E-05,2.84E-08,3.89E-04,0.009
736,3.79E-04,2.73E-05,2.60E-08,3.35E-04,0.011
738,3.28E-04,2.38E-05,2.38E-08,2.89E-04,0.011
740,2.85E-04,2.07E-05,2.18E-08,2.49E-04,0.011
742,2.47E-04,1.81E-05,2.00E-08,2.15E-04,0.003
744,2.14E-04,1.58E-05,1.83E-08,1.85E-04,0.008
746,1.86E-04,1.38E-05,1.68E-08,1.60E-04,0.009
748,1.62E-04,1.21E-05,1.54E-08,1.38E-04,0.006
750,1.41E-04,1.06E-05,1.42E-08,1.20E-04,0.004
752,1.23E-04,9.30E-06,1.30E-08,1.04E-04,0.007
754,1.07E-04,8.16E-06,1.20E-08,9.09E-05,-0.002
756,9.32E-05,7.17E-06,1.10E-08,7.92E-05,-0.001
758,8.13E-05,6.30E-06,1.01E-08,6.89E-05,-0.002
760,7.10E-05,5.54E-06,9.31E-09,6.00E-05,-0.005
762,6.21E-05,4.88E-06,8.57E-09,5.22E-05,-0.003
764,5.42E-05,4.29E-06,7.89E-09,4.55E-05,0.005
766,4.74E-05,3.78E-06,7.27E-09,3.96E-05,0.008
768,4.14E-05,3.33E-06,6.70E-09,3.45E-05,0.001
770,3.63E-05,2.94E-06,6.18E-09,3.00E-05,-0.012
772,3.24E-05,2.63E-06,5.72E-09,2.61E-05,0.001
774,2.97E-05,2.42E-06,5.33E-09,2.27E-05,0.007
776,2.85E-05,2.30E-06,5.02E-09,1.98E-05,0.017
778,2.91E-05,2.31E-06,4.78E-09,1.72E-05,0.001
780,3.15E-05,2.45E-06,4.63E-09,1.50E-05,0.016
